FEC_NAC,GENERO,EDO_CIVIL,NIV_ESTUDIOS,PUESTO,TIPO_CASA,DEP_ECONOMICOS,SUELDO_SOL,ESTADO,CP,DOM_ANIOS,DOM_MESES,TRA_ANIOS,TRA_MESES,HIJOS,CAP_PAGO,PUNTOS_BURO,OTRA_CUENTA,CLASE,CLASE2
16/07/1964,FEMENINO,CASADO,SECUNDARIA,DUENOPEQUENEG,PROPIA,0,12000,COLIMA,28864,20,0,8,0,SINODATOS,2455.42,364.6,SI,POTENCIALES,V3F2
17/10/1990,MASCULINO,CASADO,BACHILLERATO,INVESTIGADOR,FAMILIARES,0,3750,COLIMA,28000,1,0,0,3,SINODATOS,1125,63.08,SI,POTENCIALES,V2F2
07/08/1993,MASCULINO,DIVORCIADO,BACHILLERATO,INVESTIGADOR,FAMILIARES,0,5625,COLIMA,28979,15,0,0,11,NO,500,-1650,SI,POTENCIALES,V1F1
09/05/1979,MASCULINO,CASADO,LICENCIATURA,VETERINARIO,PROPIA,1,10000,COLIMA,28869,10,0,10,0,SINODATOS,3000,550.92,SI,POTENCIALES,V4F2
09/05/1979,FEMENINO,CASADO,LICENCIATURA,VETERINARIO,PROPIA,0,20000,COLIMA,28869,9,3,14,0,SINODATOS,3273.89,550.92,SI,POTENCIALES,V4F2
13/02/1994,MASCULINO,CASADO,LICENCIATURA,CUSTODIO,PADRES,0,12000,COLIMA,28400,0,4,0,1,SINODATOS,1463.58,0,NO,POTENCIALES,V1F2
22/10/1984,MASCULINO,CASADO,LICENCIATURA,ADMINISTRADOR,PROPIA,0,20000,COLIMA,28970,3,7,7,0,SINODATOS,2068.92,873.22,NO,POTENCIALES,V3F2
10/11/1996,FEMENINO,SOLTERO,BACHILLERATO,DUENOPEQUENEG,PADRES,0,40000,COLIMA,28000,2,0,12,0,SINODATOS,2046.18,197.88,NO,ATENCION MEDIA,V1F1
08/11/1992,MASCULINO,CASADO,LICENCIATURA,COORDINADOR,RENTADA,0,10641,COLIMA,28865,1,0,2,0,SINODATOS,2592.3,716.72,SI,POTENCIALES,V3F2
10/10/1980,MASCULINO,CASADO,SECUNDARIA,CONSTRUCTOR,PROPIA,0,4000,COLIMA,28510,7,3,10,0,SINODATOS,1200,219.78,SI,POTENCIALES,V2F2
16/08/1981,MASCULINO,CASADO,LICENCIATURA,TECNICO ESPECIALIZADO,PROPIA,0,10000,COLIMA,28140,1,5,7,0,SINODATOS,1705.15,455.32,SI,PERDIDOS,V1F1
16/08/1981,MASCULINO,CASADO,LICENCIATURA,INTENDENTE,PROPIA,0,10000,COLIMA,28000,6,0,9,11,NO,1124.03,708.78,SI,PERDIDOS,V1F1
17/06/1990,MASCULINO,SOLTERO,LICENCIATURA,JEFEAREACONLIC,FAMILIARES,1,12000,COLIMA,28043,27,0,6,0,SINODATOS,1718.79,-255.26,NO,POTENCIALES,V3F2
26/06/1986,FEMENINO,SOLTERO,BACHILLERATO,SECRETARIA,PROPIA,0,6500,COLIMA,28000,31,0,10,0,SINODATOS,974.16,0,NO,POTENCIALES,V3F1
04/05/1987,MASCULINO,SOLTERO,LICENCIATURA,COORDINADOR,PROPIA,0,20000,COLIMA,28844,0,11,6,0,NO,3192.44,976.6,NO,PERDIDOS,V0F0
18/06/1988,FEMENINO,CASADO,LICENCIATURA,ENCAREA,RENTADA,1,9700,COLIMA,28000,1,4,0,2,SINODATOS,1051.15,85.96,SI,LEALTAD,V3F4
06/05/1987,FEMENINO,SOLTERO,LICENCIATURA,TAQUERO,RENTADA,0,8000,COLIMA,28000,5,0,16,0,SINODATOS,884.03,221.06,NO,POTENCIALES,V2F3
27/04/1979,FEMENINO,CASADO,LICENCIATURA,EJECUTIVOTRAFICO,FAMILIARES,0,12000,COLIMA,28200,30,0,6,0,SINODATOS,1948.74,250,NO,PERDIDOS,V1F1
26/11/1983,FEMENINO,SOLTERO,LICENCIATURA,PROFESOR,PADRES,0,9000,COLIMA,28000,0,4,0,1,NO,1705.15,448,SI,PERDIDOS,V1F2
